# raceline for track_id=oschersleben (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.2.0, sysid_session_id=none-preliminary
# generation_params: track_shape=external_centerline, source_centerline_csv=../config/tracks/oschersleben/source_centerline.csv, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
9.100391,-8.734084,2.555950,2.856495,-0.000070,18.850505
9.200395,-8.830052,2.584076,2.856489,-0.000055,18.799985
9.300399,-8.926019,2.612203,2.856482,-0.000093,18.749330
9.400404,-9.021986,2.640331,2.856472,-0.000099,18.698537
9.500408,-9.117953,2.668460,2.856464,-0.000055,18.647606
9.600412,-9.213919,2.696590,2.856458,-0.000063,18.596535
9.700417,-9.309886,2.724720,2.856450,-0.000109,18.545324
9.800421,-9.405852,2.752851,2.856441,-0.000072,18.493971
9.900425,-9.501818,2.780983,2.856434,-0.000054,18.442475
10.000429,-9.597784,2.809116,2.856427,-0.000086,18.390835
10.100434,-9.693749,2.837249,2.856418,-0.000100,18.339049
10.200438,-9.789714,2.865383,2.856410,-0.000054,18.287117
10.300442,-9.885679,2.893518,2.856405,-0.000058,18.235036
10.400447,-9.981644,2.921653,2.856397,-0.000106,18.182807
10.500451,-10.077609,2.949789,2.856388,-0.000073,18.130427
10.600455,-10.173573,2.977926,2.856381,-0.000052,18.077895
10.700459,-10.269538,3.006064,2.856375,-0.000081,18.025211
10.800464,-10.365502,3.034202,2.856366,-0.000100,17.972372
10.900468,-10.461466,3.062341,2.856358,-0.000052,17.919377
11.000472,-10.557429,3.090481,2.856353,-0.000052,17.866225
11.100477,-10.653393,3.118621,2.856345,-0.000102,17.812914
11.200481,-10.749356,3.146762,2.856336,-0.000074,17.759443
11.300485,-10.845319,3.174904,2.856330,-0.000050,17.705811
11.400490,-10.941282,3.203046,2.856324,-0.000075,17.652016
11.500494,-11.037244,3.231190,2.856315,-0.000100,17.598056
11.600498,-11.133207,3.259334,2.856308,-0.000050,17.543930
11.700502,-11.229169,3.287478,2.856303,-0.000050,17.489637
11.800507,-11.325131,3.315623,2.856295,-0.000097,17.435175
11.900511,-11.421093,3.343769,2.856287,-0.000075,17.380542
12.000515,-11.517054,3.371916,2.856281,-0.000049,17.325737
12.100520,-11.613016,3.400063,2.856275,-0.000069,17.270758
12.200524,-11.708977,3.428211,2.856266,-0.000097,17.215603
12.300528,-11.804938,3.456359,2.856259,-0.000051,17.160271
12.400532,-11.900899,3.484509,2.856254,-0.000048,17.104761
12.500537,-11.996859,3.512658,2.856247,-0.000090,17.049069
12.600541,-12.092820,3.540809,2.856239,-0.000075,16.993195
12.700545,-12.188780,3.568960,2.856233,-0.000047,16.937136
12.800550,-12.284740,3.597112,2.856227,-0.000064,16.880892
12.900554,-12.380700,3.625264,2.856219,-0.000094,16.824459
13.000558,-12.476660,3.653418,2.856212,-0.000052,16.767837
13.100563,-12.572619,3.681571,2.856207,-0.000047,16.711022
13.200567,-12.668579,3.709726,2.856200,-0.000085,16.654014
